position,predictions,duration_m,pred/actual,diff,"diff, %",diff^2,stand.deviation,z score,,MSE=,35.9118664174
3010,3.84,1.15,334%,2.69,234%,7.24,2.69,-1.05,,,
4900,13.78,4.17,330%,9.61,230%,92.38,9.61,-0.55,,,
3544,11.68,3.55,329%,8.13,229%,66.07,8.13,-0.65,,,
1485,8.91,2.73,327%,6.19,227%,38.28,6.19,-0.79,,,
9206,6.65,2.04,327%,4.62,227%,21.31,4.62,-0.91,,,
675,4.60,1.41,326%,3.19,226%,10.16,3.19,-1.01,,,
7730,9.28,2.89,321%,6.39,221%,40.87,6.39,-0.76,,,
2189,8.22,2.56,321%,5.66,221%,32.03,5.66,-0.82,,,
11026,4.36,1.38,316%,2.98,216%,8.87,2.98,-1.02,,,
6580,4.98,1.58,316%,3.40,216%,11.58,3.40,-0.98,,,
8240,6.72,2.14,315%,4.59,215%,21.05,4.59,-0.89,,,
949,8.51,2.73,312%,5.78,212%,33.40,5.78,-0.79,,,
807,5.01,1.61,311%,3.40,211%,11.56,3.40,-0.98,,,
2230,2.24,0.72,311%,1.52,211%,2.32,1.52,-1.13,,,
1180,3.67,1.18,310%,2.49,210%,6.19,2.49,-1.05,,,
2871,3.36,1.08,309%,2.27,209%,5.16,2.27,-1.07,,,
4530,6.44,2.10,306%,4.33,206%,18.79,4.33,-0.90,,,
9840,3.12,1.02,306%,2.10,206%,4.41,2.10,-1.08,,,
1339,3.12,1.02,306%,2.10,206%,4.40,2.10,-1.08,,,
3020,7.13,2.33,306%,4.80,206%,23.06,4.80,-0.86,,,
1074,5.81,1.91,305%,3.90,205%,15.22,3.90,-0.93,,,
1150,6.79,2.23,304%,4.56,204%,20.80,4.56,-0.87,,,
9827,14.48,4.80,302%,9.68,202%,93.71,9.68,-0.45,,,
3955,9.70,3.22,301%,6.48,201%,42.04,6.48,-0.71,,,
3556,4.64,1.54,300%,3.09,200%,9.57,3.09,-0.99,,,
4485,9.35,3.12,300%,6.23,200%,38.82,6.23,-0.73,,,
10057,5.02,1.68,300%,3.34,200%,11.18,3.34,-0.97,,,
3626,4.13,1.38,299%,2.75,199%,7.57,2.75,-1.02,,,
6657,5.31,1.77,299%,3.54,199%,12.51,3.54,-0.95,,,
9364,6.44,2.17,297%,4.27,197%,18.23,4.27,-0.88,,,
1201,8.37,2.83,296%,5.55,196%,30.76,5.55,-0.78,,,
3333,10.66,3.65,292%,7.01,192%,49.15,7.01,-0.64,,,
10949,4.59,1.58,291%,3.01,191%,9.09,3.01,-0.98,,,
7745,3.72,1.28,291%,2.44,191%,5.97,2.44,-1.03,,,
9307,6.65,2.30,289%,4.35,189%,18.96,4.35,-0.86,,,
8784,6.36,2.20,289%,4.16,189%,17.29,4.16,-0.88,,,
5825,11.06,3.84,288%,7.21,188%,52.04,7.21,-0.61,,,
8209,10.77,3.75,288%,7.03,188%,49.36,7.03,-0.62,,,
1884,3.30,1.15,287%,2.15,187%,4.63,2.15,-1.05,,,
8192,7.70,2.69,286%,5.01,186%,25.08,5.01,-0.80,,,
249,7.79,2.73,286%,5.06,186%,25.63,5.06,-0.79,,,
2214,2.81,0.99,285%,1.82,185%,3.32,1.82,-1.08,,,
5683,1.96,0.69,284%,1.27,184%,1.62,1.27,-1.13,,,
9663,4.26,1.51,282%,2.75,182%,7.57,2.75,-0.99,,,
10576,13.49,4.80,281%,8.69,181%,75.56,8.69,-0.45,,,
8687,4.34,1.54,281%,2.79,181%,7.80,2.79,-0.99,,,
8520,3.78,1.35,281%,2.44,181%,5.93,2.44,-1.02,,,
12328,4.60,1.64,280%,2.96,180%,8.75,2.96,-0.97,,,
8279,3.77,1.35,280%,2.42,180%,5.85,2.42,-1.02,,,
8833,5.48,1.97,278%,3.51,178%,12.29,3.51,-0.92,,,
6341,10.43,3.78,276%,6.65,176%,44.29,6.65,-0.62,,,
6489,3.08,1.12,275%,1.96,175%,3.84,1.96,-1.06,,,
11082,5.16,1.87,275%,3.28,175%,10.78,3.28,-0.93,,,
11847,3.53,1.28,275%,2.24,175%,5.04,2.24,-1.03,,,
9910,5.60,2.04,275%,3.56,175%,12.69,3.56,-0.91,,,
1921,3.66,1.35,272%,2.31,172%,5.35,2.31,-1.02,,,
12213,3.84,1.41,271%,2.42,171%,5.87,2.42,-1.01,,,
2671,2.47,0.92,268%,1.55,168%,2.40,1.55,-1.09,,,
4248,5.64,2.10,268%,3.54,168%,12.51,3.54,-0.90,,,
5719,6.07,2.27,268%,3.80,168%,14.47,3.80,-0.87,,,
12991,7.38,2.76,267%,4.62,167%,21.31,4.62,-0.79,,,
1423,6.99,2.63,266%,4.36,166%,19.00,4.36,-0.81,,,
1041,5.94,2.23,266%,3.70,166%,13.70,3.70,-0.87,,,
7842,6.79,2.56,265%,4.23,165%,17.89,4.23,-0.82,,,
2248,4.53,1.71,265%,2.82,165%,7.93,2.82,-0.96,,,
2112,6.04,2.30,263%,3.75,163%,14.03,3.75,-0.86,,,
222,4.22,1.61,262%,2.61,162%,6.79,2.61,-0.98,,,
11244,5.92,2.27,261%,3.65,161%,13.31,3.65,-0.87,,,
946,3.72,1.45,257%,2.27,157%,5.17,2.27,-1.01,,,
11065,3.11,1.22,256%,1.90,156%,3.60,1.90,-1.04,,,
7501,5.21,2.04,256%,3.18,156%,10.10,3.18,-0.91,,,
10931,14.18,5.55,255%,8.63,155%,74.51,8.63,-0.32,,,
223,10.53,4.14,254%,6.39,154%,40.79,6.39,-0.56,,,
896,5.09,2.00,254%,3.09,154%,9.55,3.09,-0.91,,,
8008,13.48,5.32,253%,8.16,153%,66.60,8.16,-0.36,,,
5518,23.37,9.23,253%,14.14,153%,199.91,14.14,0.29,,,
484,4.91,1.94,253%,2.97,153%,8.81,2.97,-0.92,,,
7198,12.56,4.99,252%,7.57,152%,57.32,7.57,-0.41,,,
4687,7.93,3.15,251%,4.77,151%,22.80,4.77,-0.72,,,
750,3.38,1.35,251%,2.03,151%,4.13,2.03,-1.02,,,
10905,4.61,1.84,251%,2.77,151%,7.69,2.77,-0.94,,,
9508,5.02,2.00,251%,3.02,151%,9.12,3.02,-0.91,,,
1178,8.56,3.42,251%,5.15,151%,26.49,5.15,-0.68,,,
11021,5.68,2.27,251%,3.41,151%,11.65,3.41,-0.87,,,
5923,6.99,2.79,250%,4.20,150%,17.66,4.20,-0.78,,,
10196,5.18,2.07,250%,3.11,150%,9.70,3.11,-0.90,,,
343,4.85,1.94,250%,2.91,150%,8.46,2.91,-0.92,,,
9105,4.91,1.97,249%,2.94,149%,8.64,2.94,-0.92,,,
5507,7.96,3.22,247%,4.74,147%,22.46,4.74,-0.71,,,
7110,5.92,2.40,247%,3.53,147%,12.43,3.53,-0.85,,,
2499,11.67,4.73,247%,6.94,147%,48.10,6.94,-0.46,,,
3532,5.02,2.04,246%,2.98,146%,8.88,2.98,-0.91,,,
8587,6.64,2.69,246%,3.94,146%,15.53,3.94,-0.80,,,
12537,6.47,2.63,246%,3.84,146%,14.74,3.84,-0.81,,,
6466,3.63,1.48,246%,2.15,146%,4.63,2.15,-1.00,,,
11116,3.87,1.58,246%,2.30,146%,5.27,2.30,-0.98,,,
12214,7.01,2.86,245%,4.15,145%,17.22,4.15,-0.77,,,
6730,8.35,3.42,244%,4.94,144%,24.36,4.94,-0.68,,,
12318,3.69,1.51,244%,2.18,144%,4.74,2.18,-0.99,,,
900,6.25,2.56,244%,3.69,144%,13.58,3.69,-0.82,,,
115,11.82,4.86,243%,6.96,143%,48.44,6.96,-0.44,,,
6129,4.87,2.00,243%,2.87,143%,8.21,2.87,-0.91,,,
7941,3.67,1.51,243%,2.16,143%,4.66,2.16,-0.99,,,
2337,4.70,1.94,242%,2.76,142%,7.61,2.76,-0.92,,,
8969,4.60,1.91,242%,2.70,142%,7.28,2.70,-0.93,,,
6042,8.62,3.58,241%,5.04,141%,25.38,5.04,-0.65,,,
6821,2.99,1.25,240%,1.74,140%,3.04,1.74,-1.04,,,
554,4.01,1.68,239%,2.33,139%,5.44,2.33,-0.97,,,
3777,5.26,2.20,239%,3.06,139%,9.37,3.06,-0.88,,,
5991,6.25,2.63,238%,3.62,138%,13.12,3.62,-0.81,,,
12187,3.83,1.61,238%,2.22,138%,4.91,2.22,-0.98,,,
487,4.59,1.94,237%,2.65,137%,7.04,2.65,-0.92,,,
12276,9.02,3.81,237%,5.21,137%,27.16,5.21,-0.61,,,
4180,9.46,4.01,236%,5.45,136%,29.70,5.45,-0.58,,,
12431,5.35,2.27,236%,3.08,136%,9.49,3.08,-0.87,,,
12439,13.61,5.78,235%,7.82,135%,61.22,7.82,-0.28,,,
997,4.39,1.87,235%,2.52,135%,6.35,2.52,-0.93,,,
2418,6.77,2.89,234%,3.88,134%,15.08,3.88,-0.76,,,
7666,3.89,1.68,232%,2.21,132%,4.90,2.21,-0.97,,,
654,6.55,2.83,232%,3.73,132%,13.91,3.73,-0.78,,,
9838,11.50,4.96,232%,6.54,132%,42.75,6.54,-0.42,,,
63,4.10,1.77,231%,2.32,131%,5.40,2.32,-0.95,,,
9346,20.92,9.07,231%,11.85,131%,140.41,11.85,0.27,,,
6077,16.42,7.13,230%,9.29,130%,86.38,9.29,-0.06,,,
6775,5.87,2.56,229%,3.31,129%,10.93,3.31,-0.82,,,
1573,4.74,2.07,229%,2.67,129%,7.11,2.67,-0.90,,,
1073,8.19,3.58,229%,4.61,129%,21.22,4.61,-0.65,,,
12759,9.75,4.27,228%,5.48,128%,30.01,5.48,-0.53,,,
9531,20.74,9.20,225%,11.54,125%,133.10,11.54,0.29,,,
9818,5.11,2.27,225%,2.84,125%,8.08,2.84,-0.87,,,
4128,3.91,1.74,224%,2.17,124%,4.70,2.17,-0.96,,,
5874,3.83,1.71,224%,2.12,124%,4.51,2.12,-0.96,,,
12864,13.11,5.85,224%,7.27,124%,52.79,7.27,-0.27,,,
5673,5.74,2.56,224%,3.18,124%,10.09,3.18,-0.82,,,
10585,3.75,1.68,224%,2.08,124%,4.31,2.08,-0.97,,,
7398,7.21,3.22,224%,3.99,124%,15.89,3.99,-0.71,,,
13023,3.75,1.68,224%,2.07,124%,4.29,2.07,-0.97,,,
1621,3.45,1.54,223%,1.91,123%,3.63,1.91,-0.99,,,
9901,6.75,3.02,223%,3.73,123%,13.88,3.73,-0.74,,,
5340,4.77,2.14,223%,2.63,123%,6.92,2.63,-0.89,,,
11596,23.81,10.71,222%,13.10,122%,171.64,13.10,0.54,,,
973,19.10,8.61,222%,10.49,122%,110.06,10.49,0.19,,,
2649,3.06,1.38,222%,1.68,122%,2.83,1.68,-1.02,,,
1491,22.42,10.12,222%,12.30,122%,151.29,12.30,0.44,,,
10580,5.23,2.37,221%,2.86,121%,8.20,2.86,-0.85,,,
9261,7.03,3.19,220%,3.84,120%,14.74,3.84,-0.71,,,
1310,6.44,2.92,220%,3.52,120%,12.36,3.52,-0.76,,,
2405,7.66,3.48,220%,4.18,120%,17.46,4.18,-0.67,,,
9233,5.56,2.53,220%,3.03,120%,9.21,3.03,-0.82,,,
2942,10.98,4.99,220%,5.98,120%,35.78,5.98,-0.41,,,
11953,3.46,1.58,220%,1.89,120%,3.55,1.89,-0.98,,,
686,5.04,2.30,219%,2.74,119%,7.49,2.74,-0.86,,,
11043,7.69,3.52,219%,4.18,119%,17.47,4.18,-0.66,,,
4794,13.73,6.28,219%,7.45,119%,55.55,7.45,-0.20,,,
4998,2.44,1.12,219%,1.33,119%,1.76,1.33,-1.06,,,
10577,3.58,1.64,218%,1.94,118%,3.76,1.94,-0.97,,,
10146,6.50,2.99,218%,3.51,118%,12.35,3.51,-0.75,,,
6483,7.49,3.45,217%,4.04,117%,16.34,4.04,-0.67,,,
10738,12.04,5.55,217%,6.49,117%,42.13,6.49,-0.32,,,
3048,2.56,1.18,217%,1.38,117%,1.91,1.38,-1.05,,,
3390,6.76,3.12,217%,3.64,117%,13.22,3.64,-0.73,,,
6718,4.62,2.14,216%,2.48,116%,6.16,2.48,-0.89,,,
9435,5.96,2.76,216%,3.20,116%,10.25,3.20,-0.79,,,
1972,5.24,2.43,216%,2.81,116%,7.91,2.81,-0.84,,,
5753,4.82,2.23,216%,2.58,116%,6.68,2.58,-0.87,,,
2450,5.36,2.50,215%,2.87,115%,8.22,2.87,-0.83,,,
8747,1.98,0.92,215%,1.06,115%,1.12,1.06,-1.09,,,
8381,8.02,3.75,214%,4.28,114%,18.29,4.28,-0.62,,,
1516,7.17,3.35,214%,3.82,114%,14.59,3.82,-0.69,,,
6054,6.33,2.96,214%,3.37,114%,11.35,3.37,-0.75,,,
9811,3.02,1.41,214%,1.61,114%,2.58,1.61,-1.01,,,
6969,1.82,0.85,214%,0.97,114%,0.94,0.97,-1.10,,,
4379,8.63,4.04,214%,4.59,114%,21.04,4.59,-0.57,,,
254,4.90,2.30,213%,2.60,113%,6.79,2.60,-0.86,,,
2434,3.98,1.87,213%,2.11,113%,4.46,2.11,-0.93,,,
11627,7.54,3.55,213%,4.00,113%,15.96,4.00,-0.65,,,
12681,7.61,3.58,213%,4.03,113%,16.26,4.03,-0.65,,,
7584,2.09,0.99,212%,1.11,112%,1.23,1.11,-1.08,,,
5480,4.25,2.00,212%,2.24,112%,5.03,2.24,-0.91,,,
10787,7.71,3.65,211%,4.06,111%,16.49,4.06,-0.64,,,
5491,2.07,0.99,210%,1.09,110%,1.18,1.09,-1.08,,,
4781,13.61,6.47,210%,7.13,110%,50.90,7.13,-0.17,,,
8697,19.75,9.40,210%,10.36,110%,107.27,10.36,0.32,,,
1737,9.38,4.47,210%,4.91,110%,24.09,4.91,-0.50,,,
7058,4.48,2.14,210%,2.34,110%,5.50,2.34,-0.89,,,
321,5.79,2.76,210%,3.03,110%,9.18,3.03,-0.79,,,
9257,21.57,10.32,209%,11.25,109%,126.54,11.25,0.47,,,
5833,3.63,1.74,209%,1.89,109%,3.58,1.89,-0.96,,,
11883,3.91,1.87,209%,2.03,109%,4.14,2.03,-0.93,,,
8500,25.34,12.16,208%,13.18,108%,173.75,13.18,0.78,,,
5698,4.51,2.17,208%,2.34,108%,5.47,2.34,-0.88,,,
2654,3.96,1.91,208%,2.05,108%,4.21,2.05,-0.93,,,
9920,13.23,6.37,208%,6.85,108%,46.98,6.85,-0.18,,,
11708,2.31,1.12,207%,1.19,107%,1.43,1.19,-1.06,,,
8703,13.46,6.51,207%,6.95,107%,48.30,6.95,-0.16,,,
12027,5.49,2.66,206%,2.83,106%,8.03,2.83,-0.80,,,
11876,7.45,3.61,206%,3.84,106%,14.71,3.84,-0.64,,,
9914,5.62,2.73,206%,2.89,106%,8.35,2.89,-0.79,,,
4030,5.95,2.89,206%,3.06,106%,9.38,3.06,-0.76,,,
9219,6.69,3.25,206%,3.44,106%,11.85,3.44,-0.70,,,
3325,2.16,1.05,205%,1.11,105%,1.22,1.11,-1.07,,,
5356,4.43,2.17,205%,2.27,105%,5.14,2.27,-0.88,,,
8945,4.43,2.17,204%,2.26,104%,5.12,2.26,-0.88,,,
12654,11.84,5.82,204%,6.03,104%,36.31,6.03,-0.28,,,
3186,12.13,5.98,203%,6.16,103%,37.88,6.16,-0.25,,,
8554,3.33,1.64,203%,1.69,103%,2.85,1.69,-0.97,,,
5215,1.67,0.82,203%,0.84,103%,0.71,0.84,-1.11,,,
3933,3.66,1.81,203%,1.86,103%,3.45,1.86,-0.95,,,
11376,5.46,2.69,202%,2.76,102%,7.62,2.76,-0.80,,,
4063,39.14,19.35,202%,19.79,102%,391.65,19.79,1.98,,,
8508,5.85,2.89,202%,2.95,102%,8.73,2.95,-0.76,,,
8917,4.38,2.17,202%,2.21,102%,4.89,2.21,-0.88,,,
7406,5.30,2.63,202%,2.67,102%,7.13,2.67,-0.81,,,
6933,4.50,2.23,201%,2.26,101%,5.12,2.26,-0.87,,,
6833,6.94,3.45,201%,3.49,101%,12.17,3.49,-0.67,,,
2361,8.58,4.27,201%,4.31,101%,18.61,4.31,-0.53,,,
561,3.70,1.84,201%,1.86,101%,3.45,1.86,-0.94,,,
11400,1.85,0.92,201%,0.93,101%,0.86,0.93,-1.09,,,
5306,14.44,7.20,201%,7.25,101%,52.51,7.25,-0.05,,,
286,10.99,5.49,200%,5.50,100%,30.29,5.50,-0.33,,,
384,3.01,1.51,199%,1.50,99%,2.25,1.50,-0.99,,,
5764,20.48,10.28,199%,10.20,99%,104.03,10.20,0.47,,,
9793,28.09,14.13,199%,13.96,99%,194.86,13.96,1.11,,,
3315,5.61,2.83,198%,2.78,98%,7.74,2.78,-0.78,,,
5601,9.51,4.83,197%,4.68,97%,21.90,4.68,-0.44,,,
5870,7.18,3.65,197%,3.53,97%,12.48,3.53,-0.64,,,
7469,9.05,4.60,197%,4.45,97%,19.84,4.45,-0.48,,,
5665,8.14,4.14,197%,4.00,97%,16.04,4.00,-0.56,,,
1902,5.30,2.69,197%,2.60,97%,6.77,2.60,-0.80,,,
4343,8.58,4.37,196%,4.21,96%,17.72,4.21,-0.52,,,
11509,29.47,15.01,196%,14.46,96%,209.00,14.46,1.26,,,
9621,4.96,2.53,196%,2.43,96%,5.91,2.43,-0.82,,,
128,11.84,6.05,196%,5.79,96%,33.54,5.79,-0.24,,,
10428,5.01,2.56,195%,2.45,95%,5.99,2.45,-0.82,,,
1812,13.10,6.70,195%,6.39,95%,40.90,6.39,-0.13,,,
9524,3.33,1.71,195%,1.62,95%,2.64,1.62,-0.96,,,
2315,22.03,11.30,195%,10.73,95%,115.16,10.73,0.64,,,
11071,4.16,2.14,195%,2.02,95%,4.08,2.02,-0.89,,,
4267,4.28,2.20,194%,2.08,94%,4.32,2.08,-0.88,,,
1209,9.61,4.96,194%,4.65,94%,21.61,4.65,-0.42,,,
4495,4.71,2.43,194%,2.28,94%,5.18,2.28,-0.84,,,
619,15.51,8.02,193%,7.49,93%,56.15,7.49,0.09,,,
5132,8.45,4.37,193%,4.08,93%,16.65,4.08,-0.52,,,
12163,4.31,2.23,193%,2.08,93%,4.33,2.08,-0.87,,,
9227,2.92,1.51,193%,1.40,93%,1.97,1.40,-0.99,,,
4501,4.56,2.37,193%,2.19,93%,4.81,2.19,-0.85,,,
4604,2.91,1.51,193%,1.40,93%,1.96,1.40,-0.99,,,
3302,2.58,1.35,191%,1.23,91%,1.51,1.23,-1.02,,,
10811,14.70,7.72,190%,6.98,90%,48.78,6.98,0.04,,,
10005,3.38,1.77,190%,1.60,90%,2.57,1.60,-0.95,,,
10142,12.92,6.80,190%,6.12,90%,37.43,6.12,-0.11,,,
9432,7.69,4.07,189%,3.61,89%,13.06,3.61,-0.57,,,
12649,3.90,2.07,189%,1.83,89%,3.37,1.83,-0.90,,,
5058,6.50,3.45,188%,3.05,88%,9.28,3.05,-0.67,,,
6950,4.14,2.20,188%,1.94,88%,3.75,1.94,-0.88,,,
6873,4.19,2.23,188%,1.96,88%,3.83,1.96,-0.87,,,
2408,2.15,1.15,187%,1.00,87%,1.01,1.00,-1.05,,,
1465,14.64,7.82,187%,6.82,87%,46.54,6.82,0.06,,,
3517,4.79,2.56,187%,2.23,87%,4.95,2.23,-0.82,,,
1483,5.15,2.76,187%,2.39,87%,5.73,2.39,-0.79,,,
12425,5.94,3.19,186%,2.75,86%,7.59,2.75,-0.71,,,
9833,3.43,1.84,186%,1.59,86%,2.53,1.59,-0.94,,,
821,12.00,6.44,186%,5.56,86%,30.90,5.56,-0.17,,,
4402,3.18,1.71,186%,1.47,86%,2.16,1.47,-0.96,,,
3543,6.66,3.58,186%,3.08,86%,9.47,3.08,-0.65,,,
12535,10.14,5.45,186%,4.69,86%,21.95,4.69,-0.34,,,
8947,10.38,5.59,186%,4.80,86%,23.01,4.80,-0.31,,,
8948,3.05,1.64,185%,1.40,85%,1.97,1.40,-0.97,,,
12072,7.55,4.07,185%,3.47,85%,12.05,3.47,-0.57,,,
8959,5.04,2.73,185%,2.32,85%,5.36,2.32,-0.79,,,
5959,12.55,6.80,185%,5.75,85%,33.07,5.75,-0.11,,,
7943,4.66,2.53,184%,2.13,84%,4.52,2.13,-0.82,,,
7475,3.63,1.97,184%,1.66,84%,2.74,1.66,-0.92,,,
573,5.80,3.15,184%,2.64,84%,6.98,2.64,-0.72,,,
8193,6.69,3.65,183%,3.04,83%,9.23,3.04,-0.64,,,
2025,10.71,5.85,183%,4.86,83%,23.61,4.86,-0.27,,,
1093,5.94,3.25,183%,2.69,83%,7.24,2.69,-0.70,,,
8857,5.94,3.25,183%,2.69,83%,7.24,2.69,-0.70,,,
5757,4.79,2.63,182%,2.16,82%,4.68,2.16,-0.81,,,
5545,5.26,2.89,182%,2.37,82%,5.63,2.37,-0.76,,,
12363,9.09,4.99,182%,4.10,82%,16.78,4.10,-0.41,,,
4910,2.15,1.18,182%,0.97,82%,0.94,0.97,-1.05,,,
7525,5.02,2.76,182%,2.26,82%,5.12,2.26,-0.79,,,
8643,2.92,1.61,182%,1.32,82%,1.73,1.32,-0.98,,,
9306,7.52,4.14,182%,3.38,82%,11.40,3.38,-0.56,,,
2217,4.47,2.46,182%,2.01,82%,4.03,2.01,-0.84,,,
11797,10.31,5.68,181%,4.63,81%,21.42,4.63,-0.30,,,
6038,4.94,2.73,181%,2.21,81%,4.91,2.21,-0.79,,,
7442,5.00,2.76,181%,2.24,81%,5.02,2.24,-0.79,,,
13082,14.27,7.89,181%,6.39,81%,40.80,6.39,0.07,,,
4250,8.38,4.63,181%,3.75,81%,14.03,3.75,-0.47,,,
2698,5.45,3.02,180%,2.42,80%,5.87,2.42,-0.74,,,
4459,8.41,4.67,180%,3.74,80%,13.99,3.74,-0.47,,,
1324,12.13,6.74,180%,5.39,80%,29.07,5.39,-0.12,,,
971,5.91,3.29,180%,2.62,80%,6.89,2.62,-0.70,,,
6088,6.62,3.68,180%,2.94,80%,8.62,2.94,-0.63,,,
428,5.88,3.29,179%,2.60,79%,6.74,2.60,-0.70,,,
10989,3.82,2.14,179%,1.68,79%,2.83,1.68,-0.89,,,
2027,16.56,9.27,179%,7.30,79%,53.29,7.30,0.30,,,
3639,3.23,1.81,179%,1.42,79%,2.03,1.42,-0.95,,,
5560,2.88,1.61,179%,1.27,79%,1.60,1.27,-0.98,,,
5403,19.30,10.81,179%,8.49,79%,72.05,8.49,0.56,,,
